ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,ORDERDATETIME,DELIVERYDATETIME,STATUS,PRODUCTLINE,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Sales
10263,34,100,2,27-11-2016 22:29,28-11-2016 22:17,Shipped,Motorcycles,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,3400
10275,45,92.83,1,04-10-2015 01:42,06-10-2015 22:09,Shipped,Motorcycles,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,4177.35
10285,36,100,6,24-08-2012 23:13,26-08-2012 23:58,Shipped,Motorcycles,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,3600
10299,23,100,9,19-10-2015 22:52,20-10-2015 12:35,Shipped,Motorcycles,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,2300
10309,41,100,5,13-10-2013 01:01,15-10-2013 18:12,Shipped,Motorcycles,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,4100
10318,46,94.74,1,19-01-2016 22:33,21-01-2016 05:33,Shipped,Motorcycles,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,4358.04
10329,42,100,1,17-03-2014 23:16,19-03-2014 22:56,Shipped,Motorcycles,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,4200
10341,41,100,9,11-06-2014 00:12,13-06-2014 11:03,Shipped,Motorcycles,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large,4100
10361,20,72.55,13,23-01-2014 00:17,25-01-2014 23:58,Shipped,Motorcycles,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1451
10375,21,34.91,12,18-02-2015 00:34,18-02-2015 03:01,Shipped,Motorcycles,Nantes,,44000,France,EMEA,Labrune,Janine,Small,733.11
10388,42,76.36,4,10-09-2013 00:06,12-09-2013 11:04,Shipped,Motorcycles,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium,3207.12
10403,24,100,7,18-03-2013 02:00,20-03-2013 06:27,Shipped,Motorcycles,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,2400
10417,66,100,2,03-06-2014 01:01,05-06-2014 04:33,Disputed,Motorcycles,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,6600
10103,26,100,11,31-07-2016 23:19,03-08-2016 02:20,Shipped,Classic Cars,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2600
10112,29,100,1,30-11-2014 22:59,02-12-2014 19:30,Shipped,Classic Cars,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large,2900
10126,38,100,11,08-11-2016 00:17,08-11-2016 15:49,Shipped,Classic Cars,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large,3800
10140,37,100,11,21-03-2014 22:56,23-03-2014 06:16,Shipped,Classic Cars,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large,3700
10150,45,100,8,16-03-2013 23:20,17-03-2013 16:15,Shipped,Classic Cars,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large,4500
10163,21,100,1,03-03-2013 00:58,05-03-2013 19:24,Shipped,Classic Cars,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium,2100
10174,34,100,4,20-02-2012 23:40,21-02-2012 08:22,Shipped,Classic Cars,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,3400
10183,23,100,8,03-07-2015 00:45,04-07-2015 03:43,Shipped,Classic Cars,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium,2300
10194,42,100,11,10-10-2015 00:52,11-10-2015 18:14,Shipped,Classic Cars,Lyon,,69004,France,EMEA,Saveley,Mary,Large,4200
10206,47,100,6,27-10-2015 01:07,29-10-2015 20:48,Shipped,Classic Cars,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large,4700
10215,35,100,3,30-06-2014 01:13,02-07-2014 23:52,Shipped,Classic Cars,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium,3500
10228,29,100,2,05-11-2013 01:49,06-11-2013 10:01,Shipped,Classic Cars,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium,2900
10245,34,100,9,26-10-2013 00:12,27-10-2013 11:55,Shipped,Classic Cars,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium,3400
10258,32,100,6,07-05-2016 00:07,07-05-2016 04:58,Shipped,Classic Cars,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,3200
10270,21,100,9,17-02-2012 00:49,17-02-2012 23:17,Shipped,Classic Cars,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,2100
10280,34,100,2,23-02-2013 00:53,23-02-2013 01:10,Shipped,Classic Cars,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large,3400
10291,37,100,11,19-01-2013 01:08,22-01-2013 00:02,Shipped,Classic Cars,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,3700
10304,47,100,6,16-11-2013 23:46,18-11-2013 23:57,Shipped,Classic Cars,Versailles,,78000,France,EMEA,Tonini,Daniel,Large,4700
10312,48,100,3,01-07-2016 23:42,03-07-2016 07:59,Shipped,Classic Cars,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large,4800
10322,40,100,1,29-05-2012 00:28,29-05-2012 22:16,Shipped,Classic Cars,Nashua,NH,62005,USA,NA,Young,Valarie,Medium,4000
10333,26,100,3,25-09-2012 23:46,27-09-2012 20:21,Shipped,Classic Cars,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,2600
10347,30,100,1,11-05-2014 00:31,12-05-2014 15:38,Shipped,Classic Cars,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3000
10357,32,100,10,19-01-2013 23:07,20-01-2013 19:28,Shipped,Classic Cars,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,3200
10369,41,100,2,06-10-2014 23:40,09-10-2014 16:38,Shipped,Classic Cars,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium,4100
10381,36,100,3,17-05-2012 02:22,19-05-2012 14:15,Shipped,Classic Cars,San Francisco,CA,,USA,NA,Brown,Julie,Large,3600
10391,24,100,4,18-10-2015 00:57,19-10-2015 07:32,Shipped,Classic Cars,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2400
10411,23,100,9,26-04-2014 23:49,27-04-2014 23:05,Shipped,Classic Cars,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,2300
10424,50,100,6,06-02-2012 00:55,07-02-2012 13:18,In Process,Classic Cars,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,5000
10107,39,99.91,5,13-07-2012 01:50,15-07-2012 03:18,Shipped,Motorcycles,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,3896.49
10120,29,96.34,3,10-05-2012 01:48,12-05-2012 06:36,Shipped,Motorcycles,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2793.86
10134,27,100,5,23-01-2012 01:33,23-01-2012 20:10,Shipped,Motorcycles,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,2700
10145,37,100,9,24-10-2016 00:05,25-10-2016 15:33,Shipped,Motorcycles,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,3700
10159,37,100,17,24-06-2013 01:28,24-06-2013 01:50,Shipped,Motorcycles,San Francisco,CA,,USA,NA,Brown,Julie,Medium,3700
10168,27,100,4,03-01-2015 00:29,05-01-2015 10:51,Shipped,Motorcycles,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2700
10180,42,100,12,20-10-2014 00:40,20-10-2014 06:06,Shipped,Motorcycles,Lille,,59000,France,EMEA,Rance,Martine,Medium,4200
10188,38,96.34,4,24-09-2015 01:12,24-09-2015 14:12,Shipped,Motorcycles,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,3660.92
10201,24,100,5,03-06-2012 00:33,05-06-2012 21:19,Shipped,Motorcycles,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,2400
10210,23,100,2,12-05-2013 00:22,14-05-2013 02:05,Shipped,Motorcycles,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2300
10223,47,100,4,16-06-2014 22:35,19-06-2014 16:48,Shipped,Motorcycles,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,4700
10236,22,100,1,18-03-2014 23:24,20-03-2014 19:07,Shipped,Motorcycles,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small,2200
10251,44,100,5,03-11-2013 23:31,05-11-2013 00:58,Shipped,Motorcycles,Newark,NJ,94019,USA,NA,Brown,William,Medium,4400
10263,40,100,5,15-10-2013 00:32,16-10-2013 07:31,Shipped,Motorcycles,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,4000
10275,22,100,4,31-03-2012 01:45,02-04-2012 00:42,Shipped,Motorcycles,Nantes,,44000,France,EMEA,Labrune,Janine,Small,2200
10285,47,100,9,09-06-2012 00:41,11-06-2012 03:47,Shipped,Motorcycles,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,4700
10298,39,96.34,1,18-11-2012 00:16,18-11-2012 13:59,Shipped,Motorcycles,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium,3757.26
10308,34,100,2,09-07-2014 23:33,12-07-2014 05:29,Shipped,Motorcycles,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,3400
10318,45,100,4,22-09-2012 00:33,24-09-2012 09:20,Shipped,Motorcycles,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,4500
10329,20,100,2,03-07-2014 00:01,03-07-2014 19:18,Shipped,Motorcycles,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2000
10339,40,68.92,4,28-10-2012 00:04,30-10-2012 22:08,Shipped,Motorcycles,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,2756.8
10361,26,51.15,8,29-01-2013 01:26,31-01-2013 01:54,Shipped,Motorcycles,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1329.9
10374,39,100,5,02-04-2016 23:08,03-04-2016 00:01,Shipped,Motorcycles,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,3900
10388,50,44.51,5,18-12-2013 00:35,18-12-2013 08:10,Shipped,Motorcycles,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,2225.5
10402,45,100,1,11-11-2013 00:20,11-11-2013 22:50,Shipped,Motorcycles,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,4500
10417,45,100,5,07-06-2014 00:55,09-06-2014 04:25,Disputed,Motorcycles,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,4500
10107,27,100,4,14-04-2012 01:28,16-04-2012 06:32,Shipped,Motorcycles,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2700
10120,46,100,2,23-09-2013 00:53,24-09-2013 10:26,Shipped,Motorcycles,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,4600
10134,31,100,4,17-12-2014 23:21,18-12-2014 19:54,Shipped,Motorcycles,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large,3100
10145,33,100,8,07-02-2014 23:14,08-02-2014 02:13,Shipped,Motorcycles,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,3300
10159,22,100,16,30-08-2016 23:29,31-08-2016 06:31,Shipped,Motorcycles,San Francisco,CA,,USA,NA,Brown,Julie,Medium,2200
10168,20,100,3,05-10-2012 00:22,07-10-2012 05:19,Shipped,Motorcycles,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2000
10180,41,100,11,06-02-2013 00:03,07-02-2013 09:45,Shipped,Motorcycles,Lille,,59000,France,EMEA,Rance,Martine,Large,4100
10188,45,100,3,21-03-2012 00:54,23-03-2012 05:26,Shipped,Motorcycles,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large,4500
10201,49,100,4,28-10-2016 00:04,28-10-2016 09:28,Shipped,Motorcycles,San Francisco,CA,,USA,NA,Murphy,Julie,Large,4900
10210,34,100,1,12-01-2014 23:35,15-01-2014 21:07,Shipped,Motorcycles,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,3400
10223,49,100,3,21-07-2013 00:11,23-07-2013 11:31,Shipped,Motorcycles,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,4900
10237,39,100,9,05-11-2014 01:05,07-11-2014 01:15,Shipped,Motorcycles,NYC,NY,10022,USA,NA,Frick,Michael,Large,3900
10251,43,100,4,13-01-2015 00:07,15-01-2015 05:34,Shipped,Motorcycles,Newark,NJ,94019,USA,NA,Brown,William,Large,4300
10263,41,100,4,06-01-2015 00:47,06-01-2015 14:53,Shipped,Motorcycles,Bridgewater,CT,97562,USA,NA,King,Julie,Large,4100
10275,36,100,3,26-10-2013 01:40,28-10-2013 14:25,Shipped,Motorcycles,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,3600
10285,27,100,8,02-01-2015 00:46,02-01-2015 03:20,Shipped,Motorcycles,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,2700
10299,29,100,11,26-12-2012 00:32,28-12-2012 23:53,Shipped,Motorcycles,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,2900
10308,20,100,1,22-06-2012 23:37,23-06-2012 15:22,Shipped,Motorcycles,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,2000
10318,37,100,3,28-03-2013 23:27,31-03-2013 05:33,Shipped,Motorcycles,Allentown,PA,70267,USA,NA,Yu,Kyung,Large,3700
10329,26,100,3,21-03-2014 23:38,22-03-2014 10:47,Shipped,Motorcycles,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2600
10339,39,76.67,3,25-02-2013 00:11,27-02-2013 08:57,Shipped,Motorcycles,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,2990.13
10362,22,100,4,27-07-2013 00:04,29-07-2013 22:37,Shipped,Motorcycles,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2200
10374,22,100,1,05-09-2015 00:58,07-09-2015 04:14,Shipped,Motorcycles,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2200
10388,21,86.77,7,07-03-2013 00:09,09-03-2013 07:26,Shipped,Motorcycles,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,1822.17
10403,66,100,9,13-12-2015 22:59,14-12-2015 14:16,Shipped,Motorcycles,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,6600
10417,56,100,4,09-06-2012 00:05,10-06-2012 21:52,Disputed,Motorcycles,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,5600
10105,50,100,2,17-01-2015 00:07,18-01-2015 06:11,Shipped,Classic Cars,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,5000
10119,46,100,11,15-09-2012 00:34,15-09-2012 13:19,Shipped,Classic Cars,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,4600
10129,33,100,2,13-07-2012 02:12,14-07-2012 19:38,Shipped,Classic Cars,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,3300
10143,49,100,15,07-11-2014 00:55,09-11-2014 00:42,Shipped,Classic Cars,New Bedford,MA,50553,USA,NA,Tam,Wing C,Medium,4900
10155,32,100,13,12-12-2012 01:23,14-12-2012 14:10,Shipped,Classic Cars,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,3200
10167,44,100,9,25-09-2015 01:16,25-09-2015 10:12,Cancelled,Classic Cars,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,4400
10178,24,100,12,23-06-2012 00:44,25-06-2012 06:50,Shipped,Classic Cars,Toulouse,,31000,France,EMEA,Roulet,Annette,Medium,2400
10186,26,100,9,14-12-2014 00:20,15-12-2014 08:46,Shipped,Classic Cars,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium,2600
10197,45,100,6,13-12-2013 01:41,15-12-2013 09:49,Shipped,Classic Cars,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,Medium,4500
10209,39,100,8,31-07-2012 00:47,01-08-2012 19:00,Shipped,Classic Cars,Los Angeles,CA,,USA,NA,Chandler,Michael,Medium,3900
10222,49,100,12,05-04-2014 23:51,07-04-2014 04:00,Shipped,Classic Cars,San Diego,CA,91217,USA,NA,Thompson,Valarie,Medium,4900
10248,20,100,3,21-10-2014 00:48,22-10-2014 23:43,Cancelled,Classic Cars,NYC,NY,10022,USA,NA,Yu,Kwai,Small,2000
10261,27,100,1,14-03-2015 00:02,15-03-2015 00:08,Shipped,Classic Cars,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,2700
10273,30,100,4,08-08-2014 22:39,10-08-2014 09:06,Shipped,Classic Cars,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,Medium,3000
10283,25,100,6,13-05-2013 23:32,15-05-2013 03:46,Shipped,Classic Cars,Tsawassen,BC,T2F 8M4,Canada,NA,Lincoln,Elizabeth,Small,2500
10295,24,100,1,09-12-2013 01:09,10-12-2013 06:03,Shipped,Classic Cars,Boston,MA,51003,USA,NA,Yoshido,Juri,Medium,2400
10307,22,100,9,30-03-2013 00:28,31-03-2013 22:28,Shipped,Classic Cars,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Small,2200
10316,33,100,17,15-07-2012 00:39,17-07-2012 22:43,Shipped,Classic Cars,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,Medium,3300
10325,47,64.93,6,21-12-2015 00:51,23-12-2015 10:27,Shipped,Classic Cars,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,3051.71
10337,25,48.05,8,11-02-2013 23:52,12-02-2013 05:31,Shipped,Classic Cars,NYC,NY,10022,USA,NA,Hernandez,Maria,Small,1201.25
10350,26,75.47,5,02-11-2014 01:19,04-11-2014 16:28,Shipped,Classic Cars,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,1962.22
10359,48,54.68,6,05-05-2014 23:58,07-05-2014 05:16,Shipped,Classic Cars,Reims,,51100,France,EMEA,Henriot,Paul,Small,2624.64
10373,39,100,3,17-04-2012 00:40,17-04-2012 13:40,Shipped,Classic Cars,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,Medium,3900
10384,34,100,4,19-04-2012 00:13,20-04-2012 04:02,Shipped,Classic Cars,San Francisco,CA,,USA,NA,Brown,Julie,Medium,3400
10395,32,100,2,12-11-2015 01:08,13-11-2015 04:35,Shipped,Classic Cars,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,3200
10400,64,100,9,19-02-2012 02:16,20-02-2012 03:18,Shipped,Classic Cars,San Jose,CA,94217,USA,NA,Frick,Sue,Large,6400
10414,19,100,3,27-10-2013 23:34,30-10-2013 18:47,On Hold,Classic Cars,Boston,MA,51003,USA,NA,Yoshido,Juri,Small,1900
10103,42,100,4,05-01-2012 23:47,08-01-2012 19:53,Shipped,Classic Cars,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,4200
10114,31,100,8,29-01-2012 23:39,01-02-2012 14:15,Shipped,Classic Cars,Paris,,75012,France,EMEA,Bertrand,Marie,Medium,3100
10126,22,100,4,23-11-2013 01:53,23-11-2013 09:27,Shipped,Classic Cars,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Medium,2200
10140,26,100,4,26-01-2013 01:29,26-01-2013 14:18,Shipped,Classic Cars,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2600
10150,20,100,1,14-12-2013 01:07,15-12-2013 01:11,Shipped,Classic Cars,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,2000
10164,21,100,2,30-07-2015 23:40,01-08-2015 19:11,Resolved,Classic Cars,Graz,,8010,Austria,EMEA,Mendel,Roland,Medium,2100
10175,33,100,9,16-10-2012 01:51,18-10-2012 15:41,Shipped,Classic Cars,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,3300
10183,28,100,1,10-02-2015 01:26,12-02-2015 14:24,Shipped,Classic Cars,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium,2800
10194,26,100,4,05-11-2016 22:54,07-11-2016 05:59,Shipped,Classic Cars,Lyon,,69004,France,EMEA,Saveley,Mary,Medium,2600
10207,31,100,15,14-03-2013 00:49,14-03-2013 20:46,Shipped,Classic Cars,Boston,MA,51003,USA,NA,Franco,Valarie,Medium,3100
10217,48,100,4,15-05-2014 22:36,18-05-2014 00:13,Shipped,Classic Cars,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Large,4800
10229,50,100,9,10-06-2013 00:40,10-06-2013 01:23,Shipped,Classic Cars,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,5000
10245,28,100,2,25-03-2013 00:51,27-03-2013 22:49,Shipped,Classic Cars,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium,2800
10259,26,100,12,12-05-2012 23:40,13-05-2012 17:49,Shipped,Classic Cars,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Medium,2600
10270,32,100,2,29-04-2012 00:10,30-04-2012 03:15,Shipped,Classic Cars,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,3200
10281,44,100,9,09-11-2014 00:10,11-11-2014 11:12,Shipped,Classic Cars,Allentown,PA,70267,USA,NA,Yu,Kyung,Large,4400
10291,30,100,4,23-01-2013 00:13,23-01-2013 13:22,Shipped,Classic Cars,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,3000
10305,38,100,13,16-03-2015 23:31,17-03-2015 11:44,Shipped,Classic Cars,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,3800
10313,40,100,7,25-11-2013 01:12,26-11-2013 18:25,Shipped,Classic Cars,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Medium,4000
10322,46,61.99,8,02-11-2014 00:27,03-11-2014 04:42,Shipped,Classic Cars,Nashua,NH,62005,USA,NA,Young,Valarie,Small,2851.54
10334,26,100,2,18-09-2013 01:37,20-09-2013 09:26,On Hold,Classic Cars,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Medium,2600
10347,27,100,2,17-08-2015 23:19,18-08-2015 23:43,Shipped,Classic Cars,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2700
10357,43,100,9,08-11-2013 00:23,10-11-2013 11:42,Shipped,Classic Cars,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,4300
10370,35,65.63,4,15-06-2015 22:57,16-06-2015 14:35,Shipped,Classic Cars,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2297.05
10381,37,100,6,13-10-2014 00:35,14-10-2014 23:26,Shipped,Classic Cars,San Francisco,CA,,USA,NA,Brown,Julie,Medium,3700
10391,37,46.9,7,14-06-2012 00:45,16-06-2012 03:41,Shipped,Classic Cars,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,1735.3
10411,27,100,2,13-12-2013 00:30,14-12-2013 06:58,Shipped,Classic Cars,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,2700
10425,38,100,12,20-05-2014 00:43,22-05-2014 03:45,In Process,Classic Cars,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,3800
10108,33,100,6,24-11-2014 01:51,25-11-2014 10:52,Shipped,Classic Cars,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,Medium,3300
10122,42,100,10,04-04-2015 22:59,07-04-2015 16:00,Shipped,Classic Cars,Marseille,,13008,France,EMEA,Lebihan,Laurence,Large,4200
10135,42,100,7,27-01-2014 00:01,27-01-2014 05:33,Shipped,Classic Cars,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large,4200
10147,48,100,7,03-04-2012 02:26,04-04-2012 16:07,Shipped,Classic Cars,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Large,4800
10159,41,100,2,01-03-2014 23:29,02-03-2014 12:52,Shipped,Classic Cars,San Francisco,CA,,USA,NA,Brown,Julie,Large,4100
10169,30,100,2,08-02-2013 00:10,08-02-2013 01:12,Shipped,Classic Cars,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,3000
10181,27,100,14,29-04-2014 00:55,30-04-2014 11:38,Shipped,Classic Cars,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,2700
10191,21,100,3,26-03-2016 23:02,27-03-2016 20:16,Shipped,Classic Cars,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium,2100
10203,20,100,8,19-05-2014 23:07,21-05-2014 11:19,Shipped,Classic Cars,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2000
10211,41,100,2,25-04-2014 00:24,25-04-2014 10:05,Shipped,Classic Cars,Paris,,75016,France,EMEA,Perrier,Dominique,Large,4100
10225,27,100,9,03-08-2014 00:09,03-08-2014 21:32,Shipped,Classic Cars,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium,2700
10238,28,100,3,06-12-2013 23:57,09-12-2013 22:26,Shipped,Classic Cars,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Medium,2800
10253,24,100,13,02-03-2012 01:48,02-03-2012 02:27,Cancelled,Classic Cars,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium,2400
